,UB,UR,UL,BU,RU,LU,BL,BR,RB,RF,FR,FL,LF,LB,BD,RD,FD,LD,DB,DR,DF,DL
UB,,"U, U-perm","U', U-perm",,U M U M' U2 M U M' U',U' M U' M' U2 M U' M' U,Rw' F E' Rw2 E' Rw2' F' Rw,R U' S R2' S' R2 U R',U L' E L U2 L' E' L U,U L E' L' U2 L E L' U,R' U' S R2 S' R2' U R,Rw B E Rw2' E Rw2 B' Rw',U' R' E R U2 R' E' R U',U' R E' R' U2 R E R' U',U' M' U' M' U2 M U' M U,"U' (R' E' R, U2)",U M U' M U2 M' U' M' U',"U (L' E' L, U2)",M U2 M' U2,U' S R2' S' R2 U,U2 M' U2 M,U S' L2 S L2 U'
UR,R2' U' FB' R2 F'B U' R2,,U-perm,"R' (M, U' R U)",,"(S', L F' L')","(U', R' E2 R)","E (U', R E' R')","U (L' E L, U)","U (L E' L', U)",Lw U M' U' R U (Rw' R) U' (R2 x),"(U', R E2 R')","(U', R' E R)","(U', R E' R')",U M U M' U M U M',"(U', R' E' R)",Rw U' R' U M U' R U R',"U (L' E' L, U)",U2 M' U2 M' U M U2 M U,R' U Lw' E' Lw2 E' Lw' U' R,M U2 M U M' U2 M' U',U' L' U' L U L U L U' L'
UL,,,,"L (M, U L' U')","(S, R' F R)",,"E' (U, L' E L)","(U, L E2 L')","(U, L' E L)","(U, L E' L')","(U, L' E2 L)",Rw' U' M' U L' U' (Rw' R) U (L2 x),"U' (R' E R, U')","U' (R E' R', U')",U' M U' M' U' M U' M',"U' (R E R', U')",Lw' U L U' M U L' U' L,"(U, L' E' L)",U2 M' U2 M' U' M U2 M U',U R U R' U' R' U' R' U R,M U2 M U' M' U2 M' U,L U' Rw E Rw2' E Rw U L'
BU,,,,,"R (M', U R' U')","L' (M', U' L U)","(U L U', M)","(U' R' U, M)","(M', U R' U')","(M', U R U')","(U' R U, M)","(U L' U', M)","(M', U' L' U)","(M', U' L U)","U' x' (R U R', E)","R (M', U R U')","U' (R' F' R, S)","L' (M', U' L' U)","U x' (E, R U R')","R' (U' R' U, M)","U (S, R' F' R)","L (U L U', M)"
RU,,,,,,M U' M' U2 M U' M',"M' (U, R E' R')",U Rw' U M' U2 M U Rw U',"S' (U, L' E L)","S' (U, L E' L')",R U2 R' S' R U' R' S R U' R',"M' (U, Rw' E Rw)",ML' U' M' U2 M U' M'L,Lw U' M' U2 M U' Lw',M' U' M' U' M U' M' U' M2,x U' Lw E Lw2 E Lw U x',"Rw (M', U R' U')",Rw U' L' E L2 E' L' U Rw',Rw' R2 U R' U' Rw M'R' U R U' Rw',"(R' F R, S')",R F R2' E R2 E' F' R',Lw' U R' E R U' R' E' (R2 x')
LU,,,,,,,U' Lw U M' U2 M U Lw' U,"M' (U', L' E L)",Rw' U M' U2 M U Rw,Rw' R2 U M' U2 M U Rw R2',"M' (U', Lw E' Lw')",L' U2 L S L' U L S' L' U L,"S (U', R' E R)","S (U', R E' R')",M' U M' U M U M' U M2,Lw' U R E' R2' E R U' Lw,"Lw' (M', U' L' U)",x U Rw' E' Rw2 E' Rw' U' x',Lw L2' U' L U Lw' M'L U' L' U Lw,Rw U' L E' L' U L E (L2 x'),L' F E' L2 E L2 F' L,"(L F' L', S)"
BL,Rw' F' E' Rw2 E' Rw2' F Rw,,,,,,,R U' R E' R2' E R U R',"(L U L', E)","L (U, L E' L')",R' U' R E' R2' E R U R,U' Rw' E' Rw2 E' Rw U,"(L U L', E')",,"U (U M U', L)","R' E2 (R U' R', E)","(M', U L U')","D (M', U L U')","(M2, U L U')",U' R E' R2' E R U,U' L U' M' U2 M U' L' U,U' L' U' L' U L U L U L'
BR,R U S R2' S' R2 U' R',,,,,,,,,"(R' U' R, E)",U Lw' E' Lw2 E' Lw' U',R U' R E R2' E' R U R',"R' (U', R' E R)","(R' U' R, E')","U' (U' M U, R')","D' (M', U' R' U)","(M', U' R' U)","L E2 (L' U L, E')","(M2, U' R' U)",U R U R U' R' U' R' U' R,U R' U' M' U2 M U' R U',U L' E L2 E' L' U'
RB,,,,,,,,,,Lw' U' Lw E Lw2 E Lw U Lw,"(E', R U' R')","L' (L' E L, U)","E' (R U' R', E2)",Uw Lw' E' Lw2 E' Lw' Uw',"z' R' (U, R' E R)","(R, U' S U).","M' (M', U R' U')","S (L' E L, U)","M (U R' U', M2)",Uw' R E' R2' E R Uw,F R2 E R2' E' F',Uw L E' L2 E L Uw'
RF,,,,,,Rw' R2 U' M' U2 M U' Rw R2',,,,,,"(E', L' U L)",E'U' Rw E Rw2' E Rw EU,"E' (L' U L, E2)","U M (U', L E' L')","(R', U' S U)","M' (M', U R U')","S (L E' L', U)","M (U R U', M2)",U'E' R' E R2 E' R' UE,R2' F R2 E R2' E' F' R2,"(F, R' S' R)"
FR,R' U S R2 S' R2' U' R,,,,,,,,,,,R' U' R E R2' E' R' U R,"(R U' R', E)","R (U', R E' R')","U' (U' M U, R)","D' (M', U' R U)","(M', U' R U)",R U R' S R U R' S' R U2 R',"(M2, U' R U)",U R' U' R' U R U R U R' U2,U R U M' U2 M U R' U',U L E' L2' E L U'
FL,Rw B' E Rw2' E Rw2 B Rw',,,,,,,,,,,,,"(L' U L, E)","U (U M U', L')",L' U' L S' L' U' L S L' U2 L,"(M', U L' U')","D (M', U L' U')","(M2, U L' U')",U' R' E R2 E' R' U,U' L' U' M' U2 M U' L U,U' L U L U' L' U' L' U' L U2
LF,,,,,,,,,,EU Lw' E Lw2 E Lw' E'U',,,,Rw U Rw E Rw2' E Rw U' Rw',"U' M (U, R' E R)","S' (R' E R, U')","M' (M', U' L' U)","(L, U S' U')","M (U' L' U, M2)","R (E, R U' R')",L2 F' L2' E' L2 E F L2',UE L E' L2 E L U'E'
LB,,,,,,,,,Uw' Rw E Rw2' E Rw Uw,Lw' U' L' E' L2 E L' U Lw,,,,,"z L (U', L E' L')","S' (R E' R', U')","M' (M', U' L U)","(L', U S' U')","M (U' L U, M2)",Uw' R' E R2 E' R' Uw,F' Rw2 E Rw2' E F,Uw L' E L2 E' L' Uw'
BD,U M' U' M' U2 M U' M U',,,,,,,,,,,,,,,D M D M' D M D M',U M U M' U2 M' U' M U,D' M D' M' D' M D' M',,D' R' F R2 E R2' E' F' R D,"D' (Lw D Lw', S')",D L F' L2' E' L2 E F L' D'
RD,,,,,,,,,,,,,,,,,"U' (R' F' R, S')",Lw' U R E R2' E' R U' Lw,"U' (S, R' B R)",,R' F R2 E R2' E' F' R,"(Lw D Lw', S')"
FD,U' M U' M U2 M' U' M' U,,,,,Lw' U' L U M' U' L' U Lw2 L',,,,,,,,,,,,"U (S, L F L')","D (Lw D Lw', S')","R (U' R U, M')",,"L' (U L' U', M')"
LD,,,,,,,,,,,,,,,,,,,"U (S', L B' L')","(Rw' D' Rw, S)",L F' L2' E' L2 E F L',
DB,,,,,Rw U R' U' Rw M'R' U R U' M'R',Lw' U' L U Lw' M'L U' L' U M'L,,,,,,,,,,,,,,S' Rw U R' U' Rw (M' R') U R U' (R' M') S,M Uw2 M Uw2,S Lw' U' L U Lw' M'L U' L' U LM' S'
DR,U' FB' R2 F'B U',R U Lw' E' Lw2 E' Lw' U' R',,,,,,,,,,,,,,,,,Rw M' U' R U R' Rw M' U' R' U R',,R' F' R S' R' F2 R S R' F' R,U' S' R2' S R2 U
DF,,,,,,,,,,,,,,F Rw2 E Rw2' E F',,,,,,,,Lw' U R' E R U2 R' E' R U Lw
DL,U F'B L2' FB' U,,L' U' Rw E Rw2' E Rw U L,,,,,,,,,,,,,,,,S Lw L2' U' L U Lw' M'L U' L' U Lw S',,,
