,UB,UR,UL,FR,FD,FL,RU,RB,RD,RF,BU,BL,BD,BR,LU,LF,LD,LB,DF,DR,DB,DL
UB,,"[R2 U':[S, R2]]","[U' M2 U: [M, U2]]","[R' U': [S, R2]]","R' F' : R U R' , E","[L U: [S', L2]]",S U' : S R2 S' R2,"[U: [L' E L, U2]]","[U':[R E R', U2]]","[U:[L E' L' , U2]]",,r' F' : r2 E r2 E,U' M' : U' M' U2 M U',"R U' : S , R2","[U' M U': [M' , U2]]","[U': [R' E R , U2]]","[U:[L' E' L, U2]]","[U': [R E' R', U2]]","U2 , M'","[U':[S, R2]]","M , U2","[U:[S', L2]]"
UR,"[R2 U':[R2 , S]]",,"[M2 U: [M, U2]]","[M U M' U', R]","[M' , R U' R' U]","[U', R E2 R']",,"[U: [L' E L, U]]","U' , R E R'","[U:[L E' L' , U]]","M , R U' R' U","E : U' , R' E R",U M U M' x2,"M : U M' U' , R'","[r' F' r, S]","[U', R' E R]","[U:[L' F' L , S']]","[U', R E' R']","M U2 M , U",R' U : l' E' l2 E' l',"[M2, R U' R' U]","l F L' : S' , L2"
UL,"[U' M2 U': [M, U2]]","[M2 U': [M, U2]]",,"[U, L' E2 L]",U : M' U' M U' x2,"U' : R E2 R' , U'","[l F l', S']","U , l' E l","U' : R E R' , U'","[U, L E' L']","M , L' U L U'","M : U' M' U , L",U' M U' M' x2,R U R U R' U' R' U' R' U,,"[U':[R' E R , U']]","[S', L' F' L]","[U':[R E' R', U']]","R' F' : R S R' , F2",U R U R' U' R' U' R' U R,"[M2, L' U L U']",L U' : r E r2 E r
FR,"[R' U': [R2 , S]]","[R , M U M' U']","[L' E2 L , U]",,"M' , U' R U","[R' U' R:[E, R2]]",l F l' S' l F l' S l F2 l',"R U' R' , E'","[R' f R':[S', R2]]",,"[M , U' R U]","[R' U' R':[E', R2]]","[U':[U' M U, R]]","[U R':[S, R2]]","[S' U L:[E', L2]]","R U' R' , E","R' : S, L' F' L","[R:[U' , R E' R']]",R' : (f2 R2 U' R2)x2,U R' U' R' U R U R U R' U2,"[M2 , U' R U]","[U L:[E', L2]]"
FD,"R' F' : E , R U R'",[R U' R' U  M'],"[L' U L U' , M']","[U' R U , M']",,"R' F : R U' R' , E","r : U R' U' , M'","M' : U R' U' , M'","U' : S' , R' F' R","M' : U R U' , M'","[U' : [S , R' F' R]]","U L U' , M'",[U : M' U' M U2 M U M' U2],"U' R' U , M'","[l':[U' L U , M']]","M' : U' L' U , M'","U : R' D' R, S'","[U' r : [E' , R' U' R]]",,[U R' F' : R' S R2' S' R'],"D : R F R' , S'",[U' L F : L S' L2 S L]
FL,"U : R E2 R' , U2","[R E2 R' , U']","U2 : R E2 R' , U","[R' U' R':[E, R2]]","[M' ,U L' U']",,"[S U' R:[R2,E]]","[L':[U , L' E L]]","R E : E , R' U' R","E , r U r'","[M , U L' U']",U' : r E r2 E r,"[U:[U M U', L']]","[R U' R':[E, R2]]","r' F2 : F , r S r'",,"[S' U' R':[E, R2]]","[L' U L , E]",U' L' : U' M' U2 M U',"[U' R':[E, R2]]",D'U' : R' E R2 E' R',DU' L' : U' M' U2 M U'
RU,"[U M U': [M', U2]]",,"[R' F R , S]","[U RM U:[U2 , M']]","r : M' , U R' U'","[S U' R':[R2,E]]",,"[S':[U, L' E L]]","[F' R':[R2 , E]]","[S' : [U , L E' L']] ","[R U R' U' , M']","[S U' R':[E', R2]]","U l' : U' L U , M2","[R u' R:[E', R2]]","[M U':[M' , U2]]","[L'M U':[M', U2]]","[U:[S , L F' L']]","[l U':[M', U2]]","[D : [R' F R , S']]","[R' F R, S']","r : M2 , U R' U'","[R':[F , R' S' R]]"
RB,"[U': [L' E L, U2]]","[U2: [L' E L, U']]","l' E l , U","[E' , R U' R']","M2 : U R' U' , M","[L':[L' E L , U]]","[S':[L' E L , U]]",,"[R , U' S U]","[l'/M' U' R:[S, R2]]","[U R' U' , M']","E , L U L'","[U L':[l U' l' , E]]",,"[r' U':[M', U2]]","[r U R:[E, R2]]","[L F':[L2 , E]]",u : R' S R2 S' R',F : R2 E R2' E',"[u' R:[E', R2]]","[M:[U R' U' , M2]]","[u L:[E', L2]]"
RD,"[U:[R E R', U2]]","R' E' R , U'","U2 : R E R' , U","[R' f R:[S', R2]]","U' : R' F' R , S'","R E : R' U' R , E","S U':[R2 , S']]","[U' S U , R]",,"[U' S U, R']","[R:[U R U', M']]","R' E2 : E , R U' R'","[U':[R B R' , S']]",U'D' R' U M' U' R U M D,"[R' F R':[S, R2]]","[M' U R:[E, R2]]","[L F' L:[S, L2]]","[R' F:[E' , R2]]",M' U' : S R2' S' R2,,"[U':[R' B R, S]]","R F R' , S'"
RF,"U' : L E' L' , U2","[U:[U , L E' L']]","[L E' L' , U]",,"[M':[M' , U R U']]","r U r' , E","[S':[L E' L' , U]]",l'/M' : U' l' E' l2 E' l' U,"[R' , U' S U]",,"[U R U' , M']","[r:[U , r E' r']]",[r:(U' M' U' M)*2],"[F , R S' R']","[RM U':[M', U2]]",U'E' r : E r2 E r2,"[M' U' L:[E', L2]]","[l' U' L:[E', L2]]","R2' F : R2 , E","[U'E' R:[R2,E]]","[M:[U R U' , M2]]","[F , R' S' R]"
