,UB,UR,UL,FR,FD,FL,DF,DR,DB,DL,RB,RD,RF,RU,LB,LU,LF,LD,BD,BR,BU,BL
UB,,"[R2 U' : [S, R2]]","[U' M2 U : [M, U2]]","[R' U' : [S, R2]]","[U' M U : [M, U2]]","[L U : [S', U2]]","[U2, M']","[U' : [S, R2]]","[M, U2]","[U : [S', L2]]","[U : [L' E L, U2]]","[U' : [R E R', U2]]","[U : [L E' L', U2]]","[S U' : [S, R2]]","[U' : [R E' R', U2]]","[S' U : [S', L2]]","[U' : [R' E R, U2]]","[U : [L' E' L, U2]]","[U M' U : [M', U2]]","[R U' : [S, R2]]",,"[L' U : [S', L2]]"
UR,"[R2 U' : [R2, S]]",,"[M2 U : [M, U2]]","[E' : [U', R' E R]]","[M', R U' R' U]","[U', R E2 R']","[M U2 M, U]","[R' U R' : [S, R2]]","[M2, R U' R' U]",U' L' U' L U L U L U' L',"[U : [L' E L, U]]","[U', R E R']","[U : [L E' L', U]]",,"[U', R E' R']","[S', L F' L']","[U', R' E R]","[U : [L' E' L, U]]",(U M U M')2,"[E : [U', R E' R']]","[M, R' U' R U]","[U', R' E2 R]"
UL,"[U' M2 U' : [M, U2]]","[M2 U' : [M, U2]]",,"[U, R' S2 R]","[M', L' U L U']","[E : [U, L E' L']]","[R' F' : [R S R', F2]]",U R U R' U' R' U' R' U R,D' U R U R' U' R' U' R' U R D,"[L U' L : [S', L2]]","[U, L' E L]","[U' : [R E R', U']]","[U, L E' L']","[S, R' F R]","[U' : [R E' R', U']]",,"[U' : [R' E R, U']]","[U, L' E' L]",(U' M U' M')2,"[U, R S2 R']","[M, L U L' U']","[E' : [U, L' E L]]"
FR,"[R' U' : [R2, S]]","[E' : [R' E R, U']]","[R' S2 R, U]",,"[M', U' R U]","[R' U' R : [E, R2]]","[D' U L : [E', L2]]",U R' U' R' U R U R U R' U2,"[U D L : [E', L2]]","[U L : [E', L2]]","[R U' R', E']","[R' f R' : [S', R2]]",,"[l F : [l' S' l, F]]","[R : [U', R E' R']]","[S' U L : [E', L2]]","[R U' R', E]","[L' E' : [E', L U L']]","[U' : [U' M U, R]]","[U R' : [S, R2]]","[M, U' R U]","[R' U' R' : [E', R2]]"
FD,"[U M U : [M, U2]]","[R U' R' U, M']","[L' U L U', M']","[U' R U, M']",,"[U L' U', M']",,"[U R' F' R' : [S, R2]]","[D : [R F R', S']]","[U' L F L : [S', L2]]","[M' : [U R' U', M']]","[U' : [S', R' F' R]]","[M' : [U R U', M']]","[r : [U R' U', M']]","[M' : [U' L U, M']]","[l' : [U' L U, M']]","[M' : [U' L' U, M']]","[U : [S, L F L']]",U M' U' M U2 M U M' U,"[U' R' U, M']","[U' : [S, R' F' R]]","[U L U', M']"
FL,"[U : [R E2 R', U2]]","[R E2 R', U']","[E : [L E' L', U]]","[R' U' R' : [E, R2]]","[M', U L' U']",,"[U' D R' : [E, R2]]","[U' R' : [E, R2]]","[U' D' R' : [E, R2]]",U' L U L U' L' U' L' U' L U2,"[L' : [U, L' E L]]","[R E : [E, R' U' R]]","[L' U L, E']","[S U' R' : [E, R2]]","[L' U L, E]","[r' F' : [r S r', F']]",,"[S' U' R' : [E, R2]]","[U : [U M U', L']]","[R U' R' : [E, R2]]","[U' : [S, R' F2 R]]","[U' L : [S', L2]]"
DF,"[M', U2]","[U, M U2 M]","[R' F : [R S R', F2]]","[U D' L' : [E', L2]]",,"[U' D R : [E, R2]]",,"[R' F : [R S' R', F2]]",u2 M' u2 M',"[R' F : [R' S' R, F2]]","[F : [E, R2]]","[R' F : [E, R2]]","[R2' F : [E, R2]]",[M : u' M' u2 M' u'],"[F' : [E', L2]]",[M : u M' u2 M' u],"[L2 F' : [E', L2]]","[L F' : [E', L2]]","[D' : [S', R F R']]","[U D' L : [E, L2]]","[U : [R' F' R, S]]","[U' D R' : [E', R2]]"
DR,"[U' : [R2, S]]","[R U R' : [S, R2]]",R' U' R U R U R U' R' U',U2 R U' R' U' R' U' R U R U',"[U R' F' R : [S, R2]]","[U' R : [E, R2]]","[R' F' : [R S' R', F2]]",,"[R UD L : [E', L2]]","[D : [M, D2]]","[u' R' : [E', R2]]",,"[U' E' R : [E, R2]]","[S', R' F R]","[u' R : [E, R2]]","[L : [L S L', F']]","[U' E' R' : [E, R2]]","[S, L' F' L]","[D' R' F : [E, R2]]",R' U R U R U R' U' R' U',"[r' : [U' R' U, M']]","[U' R' : [E', R2]]"
DB,"[U2, M]","[R U' R' U, M2]",D' R' U' R U R U R U' R' U' D,"[D U L' : [E', L2]]","[D : [S', R F R']]","[D' U' R : [E, R2]]",M u2 M u2,"[U' R2 U, M2]",,"[S l' : [U' L U, M2]]","[M' : [U R' U', M2]]","[U' : [R' B R, S]]","[M' : [U R U', M2]]","[r : [U R' U', M2]]","[M' : [U' L U, M2]]","[D : [S, L F' L']]","[M' : [U' L' U, M2]]","[U : [L B' L', S']]",,"[U D L : [E, L2]]","[D' r' : [U' R' U, M']]","[U' D' R' : [E', R2]]"
DL,"[U : [L2, S']]",L U L' U' L' U' L' U L U,"[L' U' L : [S', L2]]","[U L' : [E', L2]]","[U' L F L' : [S', L2]]",U2' L' U L U L U L' U' L' U,"[R' F' : [R' S' R, F2]]","[D' : [M, D2]]","[L' D' U' R' : [E, R2]]",,"[u L' : [E', L2]]","[S', R F R']","[U E L' : [E, L2]]","[R' : [R' S' R, F]]","[u L : [E, L2]]","[S, L F' L']","[U E L' : [E', L2]]",,"[D L F' : [E', L2]]","[U L : [E, L2]]","[U D : [R' F' R, S]]",L U' L' U' L' U' L U L U
